search_time,query,channel,days,candidate_count,valid_time_count,duplicate_count,found_count,failure_reason
2026-07-22 09:54:30,量子计算,搜狗微信,3,10,2,0,2,
2026-07-22 09:56:06,量子传感,搜狗微信,3,10,0,0,0,
2026-07-22 09:56:08,量子测量,搜狗微信,3,10,0,0,0,
2026-07-22 09:56:08,量子芯片,搜狗微信,3,10,0,0,0,
2026-07-22 09:56:08,量子通信,搜狗微信,3,10,0,0,0,
2026-07-22 09:58:22,量子科学,搜狗微信,3,10,0,0,0,
2026-07-22 09:58:22,量子技术,搜狗微信,3,10,0,0,0,
2026-07-22 09:58:23,量子软件,搜狗微信,3,10,0,0,0,
2026-07-22 09:58:23,后量子密码,搜狗微信,3,10,0,0,0,
2026-07-22 09:58:23,量子融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:00:30,量子 融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:02:39,量子科技 融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:06:17,量子计算,搜狗微信,3,9,2,0,2,
2026-07-22 10:07:46,量子融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:46,量子产业,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:47,量子芯片,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:49,量子通信,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:49,后量子密码,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:49,超导量子,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:53,量子传感,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:53,量子技术,搜狗微信,3,10,0,0,0,
2026-07-22 10:07:54,量子测量,搜狗微信,3,10,0,0,0,
2026-07-22 10:09:52,量子 融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:11:59,量子科技 融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:26:03,量子计算,搜狗微信,3,10,2,0,2,
2026-07-22 10:27:36,量子测量,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:38,量子融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:43,量子软件,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:43,离子阱,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:43,量子传感器,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:44,超导量子,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:44,量子通信,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:44,量子芯片,搜狗微信,3,10,0,0,0,
2026-07-22 10:27:44,后量子密码,搜狗微信,3,10,0,0,0,
2026-07-22 10:29:47,量子 融资,搜狗微信,3,10,0,0,0,
2026-07-22 10:31:55,量子科技 融资,搜狗微信,3,10,0,0,0,
2026-07-22 11:47:25,量子计算,搜狗微信,3,10,2,0,2,
2026-07-22 11:48:15,量子科技,搜狗微信,3,9,2,0,2,
2026-07-22 11:50:26,量子通信,搜狗微信,3,10,0,0,0,
